Year,Head Coaches,Division,Conference,Wins,Losses,Ties,WL%,Notes,team_url,coach_url
2023-24,Craig McDonald,D-I,ASUN,5,10,0,.333,,https://stats.ncaa.org/teams/571428,https://stats.ncaa.org/people/2619764
2022-23,Craig McDonald,D-I,ASUN,8,8,0,.500,,https://stats.ncaa.org/teams/546920,https://stats.ncaa.org/people/2619764
2021-22,Craig McDonald,D-I,ASUN,10,6,0,.625,,https://stats.ncaa.org/teams/530072,https://stats.ncaa.org/people/2619764
2020-21,Andrew McMinn,D-I,DI Independent,7,6,0,.538,,https://stats.ncaa.org/teams/507865,https://stats.ncaa.org/people/39943
2019-20,Andrew McMinn,D-I,NEC,4,2,0,.667,,https://stats.ncaa.org/teams/493884,https://stats.ncaa.org/people/39943
2018-19,Andrew McMinn,D-I,NEC,9,8,0,.529,,https://stats.ncaa.org/teams/473276,https://stats.ncaa.org/people/39943
2017-18,Andrew McMinn,D-I,NEC,13,5,,.722,,https://stats.ncaa.org/teams/423552,https://stats.ncaa.org/people/39943
2016-17,Andrew McMinn,D-I,NEC,9,7,0,.563,,https://stats.ncaa.org/teams/110554,https://stats.ncaa.org/people/39943
2015-16,Andrew McMinn,D-I,NEC,7,8,0,.467,,https://stats.ncaa.org/teams/23974,https://stats.ncaa.org/people/39943
2014-15,Andrew McMinn,D-I,NEC,3,11,0,.214,,https://stats.ncaa.org/teams/105973,https://stats.ncaa.org/people/39943
2013-14,Andrew McMinn,D-I,NEC,5,9,0,.357,,https://stats.ncaa.org/teams/103542,https://stats.ncaa.org/people/39943
2012-13,Andrew McMinn,D-I,NEC,8,7,0,.533,,https://stats.ncaa.org/teams/35203,https://stats.ncaa.org/people/39943
2011-12,Andrew McMinn,D-I,NEC,11,4,0,.733,,https://stats.ncaa.org/teams/56751,https://stats.ncaa.org/people/39943
2010-11,"Kenneth ""Bear"" Davis",D-I,NEC,9,6,0,.600,,https://stats.ncaa.org/teams/29426,https://stats.ncaa.org/people/33634
2009-10,"Kenneth ""Bear"" Davis",D-I,Robert Morris,10,5,0,.667,,https://stats.ncaa.org/teams/53273,https://stats.ncaa.org/people/33634
2008-09,"Kenneth ""Bear"" Davis",D-I,CAA,9,7,0,.563,,https://stats.ncaa.org/teams/95405,https://stats.ncaa.org/people/33634
2007-08,"Kenneth ""Bear"" Davis",D-I,CAA,4,11,0,.267,,https://stats.ncaa.org/teams/408007,https://stats.ncaa.org/people/33634
2006-07,"Kenneth ""Bear"" Davis",D-I,CAA,3,9,0,.250,,https://stats.ncaa.org/teams/178943,https://stats.ncaa.org/people/33634
2005-06,"Kenneth ""Bear"" Davis",D-I,CAA,1,13,0,.071,,https://stats.ncaa.org/teams/222337,https://stats.ncaa.org/people/33634
2004-05,"Kenneth ""Bear"" Davis",D-I,-,0,13,0,.000,Inaugural Varsity Season,https://stats.ncaa.org/teams/222120,https://stats.ncaa.org/people/33634
2001-02,,,-,,,,,,https://stats.ncaa.org/teams/563160,
